,country_iso2,cluster
0,AE,0
1,AR,1
2,AT,0
3,AU,0
4,BE,0
5,BG,0
6,BO,0
7,BR,1
8,BY,0
9,CA,0
10,CH,0
11,CL,0
12,CO,1
13,CR,0
14,CZ,0
15,DE,1
16,DK,0
17,DO,0
18,EC,0
19,EE,0
20,EG,1
21,ES,0
22,FI,0
23,FR,1
24,GB,1
25,GR,1
26,GT,0
27,HK,0
28,HN,0
29,HU,0
30,ID,1
31,IE,0
32,IL,1
33,IN,3
34,IS,0
35,JP,1
36,KR,1
37,KZ,0
38,LT,0
39,LU,0
40,LV,0
41,MA,0
42,MX,1
43,MY,0
44,NG,1
45,NI,0
46,NL,0
47,NO,0
48,NZ,0
49,PA,0
50,PE,0
51,PH,1
52,PK,1
53,PL,1
54,PT,0
55,PY,0
56,RO,0
57,SA,0
58,SE,0
59,SG,0
60,SK,0
61,SV,0
62,TH,1
63,TR,1
64,TW,0
65,UA,0
66,US,2
67,UY,0
68,VE,0
69,VN,1
70,ZA,1